id,type,date,actor,actor_id,action,title,text,members,from,from_id,message_id,reply_to_message_id,photo,width,height,edited,poll,forwarded_from,via_bot,file,mime_type,thumbnail,media_type,sticker_emoji,contact_information,contact_vcard
46,service,2020-02-24T17:07:49,@sony,810991971,invite_members,,,['@sony'],,,,,,,,,,,,,,,,,,
48,message,2020-02-24T20:14:49,,,,,Does Wipro also have proctored assessments like tcs?,,Sayan Ghosh,1019444942,,,,,,,,,,,,,,,,
49,service,2020-02-24T20:15:00,phani sslp,838381882,invite_members,,,['phani sslp'],,,,,,,,,,,,,,,,,,
51,message,2020-02-24T20:18:58,,,,,Yes,,Refrin,757416344,,,,,,,,,,,,,,,,
52,message,2020-02-24T20:19:09,,,,,Those are called just assessments,,Refrin,757416344,,,,,,,,,,,,,,,,
53,message,2020-02-24T20:19:25,,,,,There will be a total 3 assessments,,Refrin,757416344,,,,,,,,,,,,,,,,
54,message,2020-02-24T20:19:58,,,,,When they will conduct,,Anil Kumar,815014225,,,,,,,,,,,,,,,,
57,message,2020-02-24T22:23:58,,,,,Will share that info soon,,Refrin,757416344,,,,,,,,,,,,,,,,
58,message,2020-02-24T22:27:11,,,,,What assessment?,,muthu,911182215,,,,,,,,,,,,,,,,
59,message,2020-02-24T22:27:16,,,,,Are u saying pjp_?,,muthu,911182215,,,,,,,,,,,,,,,,
60,message,2020-02-24T22:27:43,,,,,Or like tcs xplore those clear that will get bonus?,,muthu,911182215,,,,,,,,,,,,,,,,
61,message,2020-02-24T22:31:30,,,,,No bonus. It's like get-in assessment.,,Refrin,757416344,,,,,,,,,,,,,,,,
62,message,2020-02-24T22:31:37,,,,,👍,,muthu,911182215,,,,,,,,,,,,,,,,
63,message,2020-02-24T22:32:26,,,,,"['Wipro NLTH Pipeline\nThis group is for 2020 Wipro phase 1 and phase 2 selected candidates. They will undergo an online pipeline course by Wipro very soon. All the best.\n', {'type': 'link', 'text': 'https://t.me/WiproNLTHPipeline'}, '\n\n\n\n\nShare this link to your friends and other colleagues and get more people come on board.']",,Refrin,757416344,,,,,,,,,,,,,,,,
64,service,2020-02-25T14:15:40,,889058207,invite_members,,,[None],,,,,,,,,,,,,,,,,,
66,service,2020-02-25T15:21:32,Sruthi Malapati,719492102,invite_members,,,['Sruthi Malapati'],,,,,,,,,,,,,,,,,,
68,service,2020-02-25T16:29:39,roger,654364620,invite_members,,,['roger'],,,,,,,,,,,,,,,,,,
70,message,2020-02-25T17:54:42,,,,,"Hello
I'm facing problem in candidate background verification although I entered all details and uploaded all supporting documents.
   Can anyone tell what should I do ?",,roger,654364620,,,,,,,,,,,,,,,,
71,message,2020-02-25T17:55:29,,,,,I got selected in phase 2 and got selection mail on 13 feb,,roger,654364620,,,,,,,,,,,,,,,,
72,message,2020-02-25T18:06:46,,,,,You will receive a mail when to upload documents. Wait till then.,,Refrin,757416344,,70,,,,,,,,,,,,,,
73,message,2020-02-25T18:12:46,,,,,"I got an offer and after accepting that offer then I received another mail telling that you have to completely fill all educational details and documents such as adhar,pan, passport etc within 20 days of the receipt of that mail",,roger,654364620,,,,,,,,,,,,,,,,
74,message,2020-02-25T18:14:51,,,,,,,roger,654364620,,,(File not included. Change data exporting settings to download.),720,1280,,,,,,,,,,,
75,message,2020-02-25T18:15:32,,,,,Anyone having same issue??,,roger,654364620,,,,,,,,,,,,,,,,
76,message,2020-02-25T21:20:42,,,,,Log in into the given website upload all the documents and fill all the details and then submit,,Sayan Ghosh,1019444942,,74,,,,,,,,,,,,,,
77,message,2020-02-26T00:15:32,,,,,Bhai yhi kiya h yr,,roger,654364620,,,,,,,,,,,,,,,,
78,message,2020-02-26T00:17:11,,,,,Agar submit ho gya toh problem kya ho raha hai?,,Sayan Ghosh,1019444942,,77,,,,,,,,,,,,,,
79,service,2020-02-26T10:05:47,Ravula Rohit,404062026,remove_members,,,['Ravula Rohit'],,,,,,,,,,,,,,,,,,
80,service,2020-02-26T10:20:25,akki,685211740,invite_members,,,['akki'],,,,,,,,,,,,,,,,,,
82,message,2020-02-26T10:26:28,,,,,Abhi bhi fill verification details likha hua aa rha h login krne pr,,roger,654364620,,,,,,,,,,,,,,,,
83,message,2020-02-26T11:33:16,,,,,"Woh Mera bhi dikha Raha hai
But ekbar submit hogya matlab aur submit nhi karna hai I think",,Sayan Ghosh,1019444942,,82,,,,,,,,,,,,,,
84,message,2020-02-26T15:34:45,,,,,In wipro pjp course pjp core stream is different for everyone or same,,Srijith,868834488,,,,,,,,,,,,,,,,
85,message,2020-02-26T15:35:24,,,,,Different,,Nani..,935902225,,,,,,,,,,,,,,,,
86,message,2020-02-26T15:35:36,,,,,Ok,,Srijith,868834488,,,,,,,,,,,,,,,,
87,message,2020-02-26T15:35:49,,,,,Wat is ur stream,,Srijith,868834488,,85,,,,,,,,,,,,,,
88,message,2020-02-26T17:38:39,,,,,Any one having .net in pjp core stream,,akki,685211740,,,,,,,,,,,,,,,,
89,message,2020-02-26T17:41:53,,,,,In PBLApp login the I'd is our resume no. And password must b same ??,,roger,654364620,,,,,,,,,,,,,,,,
90,message,2020-02-26T17:42:28,,,,,I have a problem in login also,,roger,654364620,,,,,,,,,,,,,,,,
91,service,2020-02-26T19:08:42,Nitesh Kumar Verma,810707046,invite_members,,,['Nitesh Kumar Verma'],,,,,,,,,,,,,,,,,,
93,service,2020-02-26T23:04:18,Shubham Chaudhary,546326555,invite_members,,,['Shubham Chaudhary'],,,,,,,,,,,,,,,,,,
95,service,2020-02-26T23:05:12,Moonchild,592921262,invite_members,,,['Moonchild'],,,,,,,,,,,,,,,,,,
97,service,2020-02-26T23:05:24,Himanshu Jadon,842861536,invite_members,,,['Himanshu Jadon'],,,,,,,,,,,,,,,,,,
99,message,2020-02-26T23:06:12,,,,,Wtf is pipeline course now?,,Himanshu Jadon,842861536,,,,,,,,,,,,,,,,
100,service,2020-02-26T23:06:27,N,851410480,invite_members,,,['N'],,,,,,,,,,,,,,,,,,
102,message,2020-02-26T23:07:46,,,,,PJP,,,1078232676,,99,,,,,,,,,,,,,,
103,service,2020-02-26T23:12:27,Refrin,757416344,edit_group_title,Wipro NLTH PJP,,,,,,,,,,,,,,,,,,,,
104,service,2020-02-26T23:16:21,shivani,721105467,invite_members,,,['shivani'],,,,,,,,,,,,,,,,,,
106,message,2020-02-26T23:31:46,,,,,Oh oky,,Himanshu Jadon,842861536,,102,,,,,,,,,,,,,,
107,message,2020-02-26T23:32:20,,,,,Now we r having two telegram groups and one WhatsApp group for our pjp,,Himanshu Jadon,842861536,,,,,,,,,,,,,,,,
108,message,2020-02-26T23:32:23,,,,,😂,,Himanshu Jadon,842861536,,,,,,,,,,,,,,,,
109,service,2020-02-26T23:32:26,Saumya,853933852,invite_members,,,['Saumya'],,,,,,,,,,,,,,,,,,
110,service,2020-02-26T23:32:26,Sahithi,908958091,invite_members,,,['Sahithi'],,,,,,,,,,,,,,,,,,
113,service,2020-02-27T00:16:57,Arogyaswami Madanu,856976368,invite_members,,,['Arogyaswami Madanu'],,,,,,,,,,,,,,,,,,
115,service,2020-02-27T00:50:13,AN,862274633,invite_members,,,['AN'],,,,,,,,,,,,,,,,,,
117,service,2020-02-27T00:52:06,Arogyaswami Madanu,856976368,remove_members,,,['Arogyaswami Madanu'],,,,,,,,,,,,,,,,,,
118,service,2020-02-27T06:54:59,Uhanjali Malladi,773948252,invite_members,,,['Uhanjali Malladi'],,,,,,,,,,,,,,,,,,
120,service,2020-02-27T07:09:14,Siram Venkata Krishna,910622776,invite_members,,,['Siram Venkata Krishna'],,,,,,,,,,,,,,,,,,
122,service,2020-02-27T07:10:23,Its Me,790906626,invite_members,,,['Its Me'],,,,,,,,,,,,,,,,,,
124,service,2020-02-27T07:11:18,Siram Venkata Krishna,910622776,remove_members,,,['Siram Venkata Krishna'],,,,,,,,,,,,,,,,,,
125,service,2020-02-27T07:26:10,akki,685211740,invite_members,,,['Abhishek Mishra'],,,,,,,,,,,,,,,,,,
127,message,2020-02-27T07:59:13,,,,,Anybody got similar situation where clarify tab is present but when clicking it says failure link?,,muthu,911182215,,,,,,,,,,,,,,,,
128,service,2020-02-27T09:29:06,ka;hoil,730583697,invite_members,,,['ka;hoil'],,,,,,,,,,,,,,,,,,
130,service,2020-02-27T09:54:16,Ram,833392499,invite_members,,,['Ram'],,,,,,,,,,,,,,,,,,
132,service,2020-02-27T10:08:24,R,780365095,invite_members,,,['R'],,,,,,,,,,,,,,,,,,
134,service,2020-02-27T10:09:34,Raj Kumar Prajapati,737624461,invite_members,,,['Raj Kumar Prajapati'],,,,,,,,,,,,,,,,,,
136,service,2020-02-27T10:46:28,muthukuru Sai Prakash Reddy,822214279,invite_members,,,['muthukuru Sai Prakash Reddy'],,,,,,,,,,,,,,,,,,
138,service,2020-02-27T11:51:47,kaviya S,822744767,invite_members,,,['kaviya S'],,,,,,,,,,,,,,,,,,
140,service,2020-02-27T15:16:38,Sridivya Pendyala,578428562,invite_members,,,['Sridivya Pendyala'],,,,,,,,,,,,,,,,,,
141,service,2020-02-27T22:30:09,yogesh,644778230,invite_members,,,['yogesh'],,,,,,,,,,,,,,,,,,
143,message,2020-02-28T05:58:34,,,,,Clarify link ? Can u send a picture ?,,Refrin,757416344,,127,,,,,,,,,,,,,,
144,service,2020-02-28T08:11:54,MM,822762761,invite_members,,,['MM'],,,,,,,,,,,,,,,,,,
146,service,2020-02-28T10:20:18,Rahul Agrahari,1064631133,invite_members,,,['Rahul Agrahari'],,,,,,,,,,,,,,,,,,
148,service,2020-02-28T14:05:39,Aishwarya K,949450942,invite_members,,,['Aishwarya K'],,,,,,,,,,,,,,,,,,
150,service,2020-02-28T20:22:35,Sai Annapurna Goparaju,867985908,invite_members,,,['Sai Annapurna Goparaju'],,,,,,,,,,,,,,,,,,
152,message,2020-02-29T07:12:47,,,,,Phase 2 interviews are still in progress. Will start the PJP once these are completed.,,Refrin,757416344,,,,,,,,,,,,,,,,
153,service,2020-02-29T07:12:52,Refrin,757416344,pin_message,,,,,,152,,,,,,,,,,,,,,,
154,message,2020-02-29T07:14:22,,,,,I have received PJP mail and I was selected in phase 2 interviews.,,ka;hoil,730583697,,152,,,,,,,,,,,,,,
155,message,2020-02-29T07:14:52,,,,,"Yeah, all will receive gradually.",,Refrin,757416344,,154,,,,,,,,,,,,,,
156,message,2020-02-29T07:27:27,,,,,What is pjp bro?,,Shobhit Verma,626940960,,154,,,,,,,,,,,,,,
157,message,2020-02-29T07:30:22,,,,,"pre joining program, it will be coding assessment and platform to learn about coding  enviroment of wipro",,ka;hoil,730583697,,156,,,,,,,,,,,,,,
158,service,2020-02-29T07:32:12,Gss Ch,919819888,invite_members,,,['Gss Ch'],,,,,,,,,,,,,,,,,,
160,service,2020-02-29T10:40:35,Sagar Chaudhary,895925977,invite_members,,,['Sagar Chaudhary'],,,,,,,,,,,,,,,,,,
162,message,2020-02-29T10:41:37,,,,,I attended the interview on 24 feb i received the bvg tab when i will get the LOI?,,Sagar Chaudhary,895925977,,,,,,,,,,,,,,,,
163,service,2020-02-29T14:15:52,Sai,774116262,invite_members,,,['Sai'],,,,,,,,,,,,,,,,,,
165,service,2020-02-29T14:18:01,U,932775807,invite_members,,,['U'],,,,,,,,,,,,,,,,,,
166,message,2020-02-29T14:18:01,,,,,Welcome U ! This group is for Wipro selected candidates. Will provide more information  very soon.,,Group Help,162726413,,165,,,,,,,,,,,,,,
167,message,2020-02-29T14:19:06,,,,,Can anyone plz help me regarding this . Please,,Sagar Chaudhary,895925977,,162,,,,,,,,,,,,,,
168,message,2020-02-29T14:19:27,,,,,?🎂,,Sagar Chaudhary,895925977,,,,,,,,,,,,,,,,
170,service,2020-02-29T17:12:27,Bhavani,966450331,invite_members,,,['Bhavani'],,,,,,,,,,,,,,,,,,
172,message,2020-02-29T19:23:38,,,,,"Just wait with patience. We completed our interviews before Feb 20, till waiting for offer letters.",,,1078232676,,162,,,,,,,,,,,,,,
173,service,2020-02-29T19:26:01,Refrin,757416344,edit_group_title,Wipro NLTH PJP 2020,,,,,,,,,,,,,,,,,,,,
174,message,2020-02-29T19:26:29,,,,,Getting bvg tab means i am selected sure ?,,Sagar Chaudhary,895925977,,172,,,,,,,,,,,,,,
175,message,2020-02-29T19:30:01,,,,,Can anyone plz suggest this ?,,Sagar Chaudhary,895925977,,,,,,,,,,,,,,,,
176,message,2020-02-29T19:35:29,,,,,you 95% chance of getting LOI,,ka;hoil,730583697,,174,,,,,,,,,,,,,,
177,message,2020-02-29T19:35:41,,,,,*you have,,ka;hoil,730583697,,,,,,,,,,,,,,,,
178,message,2020-02-29T19:43:21,,,,,Ok,,Sagar Chaudhary,895925977,,,,,,,,,,,,,,,,
179,service,2020-02-29T21:04:13,@Ganesh Kumar Reddy,621792621,invite_members,,,['@Ganesh Kumar Reddy'],,,,,,,,,,,,,,,,,,
181,service,2020-03-01T10:10:24,Shivangi Singh,941264532,invite_members,,,['Shivangi Singh'],,,,,,,,,,,,,,,,,,
183,service,2020-03-02T05:32:33,Mohan,670439631,invite_members,,,['Mohan'],,,,,,,,,,,,,,,,,,
185,service,2020-03-03T09:31:50,Giri,811177894,invite_members,,,['Giri'],,,,,,,,,,,,,,,,,,
187,service,2020-03-03T12:23:22,Vineet Pandey,683174592,invite_members,,,['Vineet Pandey'],,,,,,,,,,,,,,,,,,
189,message,2020-03-03T15:47:58,,,,,"How to download the PBLApp?
Can anyone send me the link?",,Sayan Ghosh,1019444942,,,,,,,,,,,,,,,,
190,message,2020-03-03T15:48:19,,,,,Don't download,,shivani,721105467,,189,,,,,,,,,,,,,,
191,message,2020-03-03T15:48:34,,,,,Go for this,,shivani,721105467,,,,,,,,,,,,,,,,
192,message,2020-03-03T15:49:02,,,,,"[{'type': 'link', 'text': 'http://59.162.104.101:25000/PBLApp/trainee.jsp'}]",,shivani,721105467,,,,,,,,,,,,,,,,
193,message,2020-03-03T15:49:17,,,,,Ok,,Sayan Ghosh,1019444942,,,,,,,,,,,,,,,,
194,message,2020-03-03T15:49:39,,,,,And login it by using yr resume number,,shivani,721105467,,,,,,,,,,,,,,,,
195,message,2020-03-03T15:50:00,,,,,Anyone from kolkata got LOI,,Sagar Chaudhary,895925977,,,,,,,,,,,,,,,,
196,message,2020-03-03T15:50:08,,,,,In the 2nd phase,,Sagar Chaudhary,895925977,,,,,,,,,,,,,,,,
197,message,2020-03-03T15:50:53,,,,,👍,,Sayan Ghosh,1019444942,,194,,,,,,,,,,,,,,
198,message,2020-03-03T15:51:18,,,,,Today my background verification tab is removed,,Sagar Chaudhary,895925977,,,,,,,,,,,,,,,,
199,message,2020-03-03T16:05:23,,,,,In userid we have to give the resume number right?,,Sayan Ghosh,1019444942,,194,,,,,,,,,,,,,,
200,message,2020-03-03T16:05:58,,,,,I have entered the resume number and password but it is showing invalid username and password,,Sayan Ghosh,1019444942,,,,,,,,,,,,,,,,
201,message,2020-03-03T16:06:39,,,,,Use resume no for both id and pass.,,Shubham Chaudhary,546326555,,200,,,,2020-03-03T16:08:04,,,,,,,,,,
202,message,2020-03-03T16:06:55,,,,,No g,,shivani,721105467,,200,,,,,,,,,,,,,,
203,message,2020-03-03T16:07:09,,,,,Give both same,,shivani,721105467,,,,,,,,,,,,,,,,
204,message,2020-03-03T16:07:16,,,,,Resume number only,,shivani,721105467,,,,,,,,,,,,,,,,
205,message,2020-03-03T16:08:07,,,,,"Yupp!!!!
It had opened😄
Thanks",,Sayan Ghosh,1019444942,,,,,,,,,,,,,,,,
206,message,2020-03-03T16:24:19,,,,,What stream u got,,shivani,721105467,,205,,,,,,,,,,,,,,
207,message,2020-03-03T16:31:24,,,,,"Java-PJP
And what's yours?",,Sayan Ghosh,1019444942,,206,,,,,,,,,,,,,,
208,message,2020-03-03T16:37:26,,,,,Same here,,shivani,721105467,,207,,,,,,,,,,,,,,
209,message,2020-03-03T16:39:14,,,,,Mine also bro,,Shobhit Verma,626940960,,200,,,,,,,,,,,,,,
210,message,2020-03-03T16:40:13,,,,,Same bro BGV also removed,,Shobhit Verma,626940960,,198,,,,,,,,,,,,,,
211,message,2020-03-03T16:43:33,,,,,Don't know what to do now😓,,Sagar Chaudhary,895925977,,210,,,,,,,,,,,,,,
212,service,2020-03-03T18:27:31,dinesh,1028913947,invite_members,,,['dinesh'],,,,,,,,,,,,,,,,,,
214,service,2020-03-03T20:55:28,Arshad Mohammad,793293878,invite_members,,,['Arshad Mohammad'],,,,,,,,,,,,,,,,,,
216,message,2020-03-03T20:56:19,,,,,Hi everyone,,Arshad Mohammad,793293878,,,,,,,,,,,,,,,,
217,message,2020-03-03T20:57:03,,,,,"My synergy portal is not opening...it says that user account has been locked .
What should I do?please help me guys.",,Arshad Mohammad,793293878,,,,,,,,,,,,,,,,
218,message,2020-03-03T21:28:04,,,,,reset your password  brother it will open,,dinesh,1028913947,,217,,,,,,,,,,,,,,
219,message,2020-03-04T00:33:41,,,,,Anyone have any idea.. Is that mean selection?,,Shobhit Verma,626940960,,,(File not included. Change data exporting settings to download.),1080,729,,,,,,,,,,,
221,message,2020-03-04T00:37:40,,,,,Yes,,Shubham Chaudhary,546326555,,219,,,,,,,,,,,,,,
222,message,2020-03-04T00:38:15,,,,,Ohk.. 👍,,Shobhit Verma,626940960,,,,,,,,,,,,,,,,
223,service,2020-03-04T07:17:46,Varun Surisetty,892249766,invite_members,,,['Varun Surisetty'],,,,,,,,,,,,,,,,,,
225,message,2020-03-04T07:17:53,,,,,Thnkq,,Varun Surisetty,892249766,,,,,,,,,,,,,,,,
227,message,2020-03-04T07:20:22,,,,,Yes,,Refrin,757416344,,219,,,,,,,,,,,,,,
228,service,2020-03-04T11:52:11,AYUSH Kumar,739361554,invite_members,,,['AYUSH Kumar'],,,,,,,,,,,,,,,,,,
230,message,2020-03-04T11:54:27,,,,,me today!,,AYUSH Kumar,739361554,,195,,,,,,,,,,,,,,
231,message,2020-03-04T12:36:34,,,,,hey how to login in wipro pbl ?,,ka;hoil,730583697,,,,,,,,,,,,,,,,
232,message,2020-03-04T12:36:50,,,,,site for wipro pjp,,ka;hoil,730583697,,231,,,,,,,,,,,,,,
233,message,2020-03-04T13:07:24,,,,,search for pbl App in google and than open the first link use your resume number as username and password it will be opened,,dinesh,1028913947,,231,,,,,,,,,,,,,,
234,message,2020-03-04T13:07:44,,,,,open*,,dinesh,1028913947,,,,,,,,,,,,,,,,
235,message,2020-03-04T21:20:39,,,,,Is bgv and joining location and offer tab back  for  everyone?,,muthu,911182215,,,,,,,,,,,,,,,,
236,message,2020-03-04T21:29:03,,,,,Bro now it says user does not exist...what should I do now?,,Arshad Mohammad,793293878,,218,,,,,,,,,,,,,,
239,message,2020-03-04T21:33:08,,,,,try to reset your password two three times it will open for sure,,dinesh,1028913947,,236,,,,,,,,,,,,,,
240,message,2020-03-04T21:48:06,,,,,Try in incognito mode,,Its Me,790906626,,236,,,,,,,,,,,,,,
241,message,2020-03-04T21:48:12,,,,,It will work,,Its Me,790906626,,,,,,,,,,,,,,,,
242,message,2020-03-04T21:48:28,,,,,After two to three days it will work automatically,,Its Me,790906626,,,,,,,,,,,,,,,,
243,message,2020-03-05T06:36:03,,,,,"It is no opening, showing invalid username or password,I kept my resume number and password same",,Uhanjali Malladi,773948252,,233,,,,,,,,,,,,,,
244,message,2020-03-05T06:37:50,,,,,Try to change password,,@Ganesh Kumar Reddy,621792621,,243,,,,,,,,,,,,,,
245,message,2020-03-05T06:45:21,,,,,Resume number is password,,Its Me,790906626,,243,,,,,,,,,,,,,,
246,message,2020-03-05T10:47:18,,,,,How to login this  discussion form,,shivani,721105467,,,(File not included. Change data exporting settings to download.),720,1280,,,,,,,,,,,
247,message,2020-03-05T12:21:11,,,,,guys how to start assesment link in pjp,,dinesh,1028913947,,,,,,,,,,,,,,,,
248,message,2020-03-05T12:22:02,,,,,try in another mode,,dinesh,1028913947,,243,,,,,,,,,,,,,,
249,message,2020-03-05T12:54:35,,,,,Go to pblapp and login by your resume id,,shivani,721105467,,247,,,,,,,,,,,,,,
250,message,2020-03-05T13:12:41,,,,,after login where is self assement link,,dinesh,1028913947,,,,,,,,,,,,,,,,
251,message,2020-03-05T15:31:33,,,,,Go to java fundamental option,,shivani,721105467,,250,,,,,,,,,,,,,,
252,message,2020-03-05T15:31:46,,,,,Hands-on assignment are there,,shivani,721105467,,,,,,,,,,,,,,,,
253,message,2020-03-05T15:49:59,,,,,ok thankz,,dinesh,1028913947,,,,,,,,,,,,,,,,
254,service,2020-03-05T16:35:10,Praneti Kore,835217980,invite_members,,,['Praneti Kore'],,,,,,,,,,,,,,,,,,
257,message,2020-03-05T16:39:58,,,,,Is it mandatory to study only Java for WIPRO,,Praneti Kore,835217980,,,,,,,,,,,,,,,,
258,message,2020-03-05T16:40:09,,,,,They said that all profiles will be open for candidates,,Praneti Kore,835217980,,,,,,,,,,,,,,,,
259,message,2020-03-05T16:42:30,,,,,The stream provided in core is mandatory apart from that if you want to learn more than you can check foundation course,,dinesh,1028913947,,258,,,,,,,,,,,,,,
260,message,2020-03-05T16:51:44,,,,,Okay,,Praneti Kore,835217980,,,,,,,,,,,,,,,,
261,message,2020-03-05T17:37:55,,,,,Anyone here got Java ??in pjp,,@Ganesh Kumar Reddy,621792621,,,,,,,,,,,,,,,,
262,message,2020-03-05T17:43:34,,,,,I got,,Praneti Kore,835217980,,,,,,,,,,,,,,,,
264,message,2020-03-05T17:56:50,,,,,i got too,,dinesh,1028913947,,261,,,,,,,,,,,,,,
265,message,2020-03-05T17:57:08,,,,,did u started it?,,dinesh,1028913947,,260,,,,,,,,,,,,,,
267,message,2020-03-05T17:58:52,,,,,Pjp java group,,muthu,911182215,,,,,,,,,,,,,,,,
277,message,2020-03-05T22:13:40,,,,,"hey my id is not being accepted by the wipro pbl app, what to do?",,ka;hoil,730583697,,,,,,,,,,,,,,,,
278,message,2020-03-05T22:13:54,,,,,Did everyone upload passport?,,Praneti Kore,835217980,,,,,,,,,,,,,,,,
279,message,2020-03-05T22:14:04,,,,,Nope,,Shubham Chaudhary,546326555,,278,,,,,,,,,,,,,,
280,message,2020-03-05T22:14:09,,,,,yes,,ka;hoil,730583697,,278,,,,,,,,,,,,,,
281,message,2020-03-05T22:14:30,,,,,"I want to upload passport, But my bgv tab is disappeared.",,Shubham Chaudhary,546326555,,,,,,2020-03-05T22:14:44,,,,,,,,,,
282,message,2020-03-05T22:15:22,,,,,I don't have passport what should I do? Will they wait till I get one?,,Praneti Kore,835217980,,,,,,,,,,,,,,,,
283,message,2020-03-05T22:16:03,,,,,is there anyone whose bg tab reappeared even you have submitted all your documents?,,ka;hoil,730583697,,,,,,,,,,,,,,,,
284,message,2020-03-05T22:16:55,,,,,Just upload whatever you've and submit it.,,Shubham Chaudhary,546326555,,282,,,,,,,,,,,,,,
285,message,2020-03-05T22:17:07,,,,,And remaining?,,Praneti Kore,835217980,,,,,,,,,,,,,,,,
286,message,2020-03-05T22:17:11,,,,,Afterwards they send clarification.,,Shubham Chaudhary,546326555,,,,,,,,,,,,,,,,
287,message,2020-03-05T22:17:17,,,,,Upload it later,,Shubham Chaudhary,546326555,,,,,,,,,,,,,,,,
288,message,2020-03-05T22:22:54,,,,,Okay,,Praneti Kore,835217980,,,,,,,,,,,,,,,,
289,service,2020-03-06T17:15:28,Ganapam Sushma,1131127292,invite_members,,,['Ganapam Sushma'],,,,,,,,,,,,,,,,,,
291,message,2020-03-06T17:33:09,,,,,Anyone here got .net course?? in pjp,,akki,685211740,,,,,,,,,,,,,,,,
292,message,2020-03-06T17:52:07,,,,,No,,Refrin,757416344,,,,,,,,,,,,,,,,
293,service,2020-03-06T17:54:33,Feriha,800085723,invite_members,,,['Feriha'],,,,,,,,,,,,,,,,,,
295,service,2020-03-06T18:04:08,Anmol Gupta,923245420,invite_members,,,['Anmol Gupta'],,,,,,,,,,,,,,,,,,
297,service,2020-03-06T18:27:24,Opt,740332281,invite_members,,,['Opt'],,,,,,,,,,,,,,,,,,
299,message,2020-03-06T21:32:02,,,,,Yes,,Bhavani,966450331,,291,,,,,,,,,,,,,,
300,message,2020-03-06T21:37:48,,,,,Pjp aenti,,Varun Surisetty,892249766,,,,,,,,,,,,,,,,
301,message,2020-03-06T21:38:17,,,,,"Sorry yeh "" pjp"" kya hey??",,Varun Surisetty,892249766,,,,,,,,,,,,,,,,
